"NAME","P0040001","P0040003","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","H0040001","H0040002","H0040003","H0040004","H0050001","H0050002","H0050003","H0050004","H0050005","H0050006","H0050007","H0050008","P0120003","P0120004","P0120005","P0120006","P0120007","P0120008","P0120009","P0120010","P0120011","P0120012","P0120013","P0120014","P0120015","P0120016","P0120017","P0120018","P0120019","P0120020","P0120021","P0120022","P0120023","P0120024","P0120025","P0120027","P0120028","P0120029","P0120030","P0120031","state","county","tract","block.group","NAME.1","P0120032","P0120033","P0120034","P0120035","P0120036","P0120037","P0120038","P0120039","P0120040","P0120041","P0120042","P0120043","P0120044","P0120045","P0120046","P0120047","P0120048","P0120049","P0180001","P0180003","P0180005","P0180006","P0180008","P0180009","state.1","county.1","tract.1","block.group.1","TRACT_BLOC"
"Block Group 2",1763,569,1161,11,1,11,0,0,10,673,346,200,127,27,10,0,10,1,0,0,6,49,46,56,37,25,6,13,36,57,63,64,53,66,76,61,19,22,10,24,16,27,26,13,58,51,38,34,25,"17","031","640400","2","Block Group 2",5,11,27,51,70,60,57,71,53,65,15,22,20,15,45,38,33,34,673,336,40,96,167,34,"17","031","640400","2","6404002"
"Block Group 1",1840,524,1273,11,3,19,1,0,9,829,470,210,149,64,10,0,38,0,4,0,12,57,61,45,23,20,8,5,37,73,72,63,78,52,62,66,20,24,10,24,26,20,16,20,51,31,50,27,14,"17","031","640500","1","Block Group 1",11,6,30,92,79,72,65,56,67,72,19,28,17,32,33,37,35,34,829,316,34,122,299,58,"17","031","640500","1","6405001"
"Block Group 2",1651,646,925,28,1,35,1,1,14,628,336,129,163,37,10,0,23,1,0,0,3,57,46,56,37,12,3,15,41,69,80,62,50,57,64,44,15,25,14,19,21,16,16,10,44,62,58,24,19,"17","031","640500","2","Block Group 2",17,7,28,50,75,58,50,63,56,44,17,29,12,24,31,22,19,13,628,291,44,88,174,31,"17","031","640500","2","6405002"
"Block Group 1",939,518,382,14,2,10,1,0,12,312,113,44,155,55,22,2,12,0,2,0,17,44,38,36,19,19,6,5,15,60,36,27,23,27,33,29,9,16,8,9,8,6,0,2,33,34,32,25,12,"17","031","640600","1","Block Group 1",5,8,26,44,41,32,33,23,29,25,9,6,10,4,12,9,7,5,312,117,25,62,84,24,"17","031","640600","1","6406001"
"Block Group 2",1490,645,802,19,3,4,0,1,16,592,223,109,260,34,16,2,5,0,2,0,9,47,54,49,27,11,6,4,28,59,55,50,50,53,48,49,17,21,8,12,18,8,10,9,60,62,51,24,20,"17","031","640600","2","Block Group 2",9,3,37,64,63,47,51,41,73,36,21,21,13,17,18,22,20,24,592,209,53,86,210,34,"17","031","640600","2","6406002"
"Block Group 3",1483,437,993,14,0,30,0,2,7,691,276,142,273,36,19,2,11,2,1,0,1,44,41,30,19,9,6,8,24,63,57,65,66,67,43,50,13,20,14,13,18,19,15,11,40,20,40,27,13,"17","031","640600","3","Block Group 3",9,5,35,58,78,55,48,58,51,55,12,27,15,12,26,26,24,34,691,240,41,99,269,42,"17","031","640600","3","6406003"
"Block Group 1",765,515,238,4,2,2,0,0,4,228,137,73,18,13,1,0,7,1,1,0,3,27,23,32,20,5,6,4,13,29,25,34,25,24,25,20,8,11,1,10,6,11,11,2,21,39,16,27,10,"17","031","640700","1","Block Group 1",1,3,20,34,20,29,25,19,23,25,3,12,7,12,13,17,8,9,228,150,9,24,39,6,"17","031","640700","1","6407001"
"Block Group 2",773,411,349,8,0,3,0,0,2,253,190,49,14,11,1,0,4,0,0,0,6,31,28,23,22,12,3,6,20,18,29,25,26,31,21,34,9,6,5,2,3,8,6,2,28,22,35,19,9,"17","031","640700","2","Block Group 2",2,5,7,34,28,33,34,27,30,29,11,9,3,4,8,8,9,9,253,152,6,38,46,11,"17","031","640700","2","6407002"
"Block Group 3",821,320,477,8,0,3,0,0,13,295,174,56,65,20,5,5,7,1,0,0,2,41,34,40,21,11,3,6,8,27,40,26,30,18,26,26,5,9,3,11,9,3,4,2,24,31,26,18,10,"17","031","640700","3","Block Group 3",6,3,11,28,37,25,35,26,36,38,10,11,5,13,11,4,7,3,295,123,24,62,69,17,"17","031","640700","3","6407003"
"Block Group 4",797,514,251,11,2,14,0,0,5,246,113,32,101,21,12,0,3,2,1,0,3,44,30,44,20,10,4,4,15,42,33,36,24,14,28,12,4,5,6,6,4,5,3,1,37,36,28,18,5,"17","031","640700","4","Block Group 4",6,0,27,26,41,37,26,21,18,15,9,17,3,6,8,7,5,7,246,94,23,60,52,17,"17","031","640700","4","6407004"
